"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 10:16:18 GMT 2025","Tue Oct 21 10:16:52 GMT 2025","33915","tests","test_demo","TestDemoMemoryLeak","","","test_demo_app_without_leak_30sec","✅ Демо: Приложение БЕЗ утечки памяти (30 сек)"
"passed","Tue Oct 21 10:15:44 GMT 2025","Tue Oct 21 10:16:18 GMT 2025","33928","tests","test_demo","TestDemoMemoryLeak","","","test_demo_app_with_leak_30sec","🚨 Демо: Приложение С утечкой памяти (30 сек)"
